timestamp_utc,overall_vibration_value,speed_value,skin_temperature_value,motor_supply_frequency_value,output_power_value,peak_to_peak_tangential_value,vibration_radial_value,vibration_tangential_value,vibration_axial_value,acceleration_rms_axial_value,acceleration_rms_tangential_value,acceleration_rms_radial_value
2026-04-25 03:39:01,1.942,1701.5,39.0,57.06,4.53,2.8359,0.964,1.902,1.942,0.282,0.4436,0.1273
2026-04-25 08:39:01,2.365,1701.0,38.0,57.09,5.17,2.6016,1.244,2.365,1.935,0.2766,0.4031,0.1182
2026-04-25 11:39:01,1.449,1699.5,46.3,57.09,5.83,2.6035,1.449,1.123,1.342,0.2622,0.4187,0.1115
2026-04-25 12:39:01,1.685,1701.4,44.7,57.09,4.98,2.3672,0.935,1.685,1.401,0.2617,0.3452,0.1152
2026-04-25 13:39:01,2.83,1701.2,45.2,57.09,5.09,2.3223,1.339,1.963,2.83,0.2698,0.3511,0.1243
2026-04-25 14:39:01,1.812,1699.9,49.6,57.09,5.64,2.5801,1.406,1.812,1.365,0.2615,0.4058,0.1211
2026-04-25 16:39:01,1.713,1701.1,42.5,57.09,5.12,2.5938,1.172,1.364,1.713,0.2554,0.4082,0.1136
2026-04-25 20:39:01,1.444,1699.8,42.4,57.09,5.68,2.2793,1.444,1.15,1.09,0.2654,0.3567,0.1251
2026-04-26 11:40:01,3.885,1449.8,33.2,48.62,4.36,3.4961,1.624,3.885,0.811,0.2764,0.5103,0.1709
2026-04-26 17:40:01,1.045,1260.0,37.4,42.28,3.55,2.7207,1.045,1.021,0.546,0.2217,0.4436,0.1305
2026-04-26 18:40:01,0.982,1260.0,41.6,42.31,3.96,2.377,0.982,0.84,0.446,0.246,0.407,0.1222
2026-04-26 22:40:01,0.918,1250.1,39.1,42.31,8.15,2.4902,0.918,0.841,0.599,0.2318,0.4319,0.1307
2026-04-26 23:40:01,0.992,1260.4,40.1,42.31,3.81,2.3477,0.807,0.992,0.413,0.2419,0.4246,0.1228
2026-04-27 02:40:01,1.132,1259.8,36.7,42.31,4.04,2.5137,1.132,1.052,0.444,0.2223,0.4307,0.1293
2026-04-27 03:40:01,0.796,135.2,43.9,5.64,1.91,0.2148,0.796,0.504,0.187,0.01,0.032,0.0278
2026-04-27 04:40:01,0.973,1260.2,36.1,42.28,3.49,2.625,0.802,0.973,0.538,0.2148,0.437,0.1329
2026-04-27 05:40:01,0.985,1261.9,38.9,42.31,3.18,2.373,0.864,0.985,0.43,0.2369,0.4253,0.1246
2026-04-27 06:40:01,0.887,1260.5,42.1,42.31,3.74,2.4258,0.79,0.887,0.471,0.2267,0.4377,0.1198
2026-04-27 09:40:01,0.879,1260.2,39.1,42.31,3.89,2.6016,0.673,0.879,0.383,0.2202,0.4485,0.1289
2026-04-27 10:40:01,0.815,1249.9,43.6,42.31,8.26,2.3477,0.815,0.782,0.633,0.2444,0.4243,0.1229
2026-04-27 11:40:01,0.187,134.4,52.3,5.59,1.87,0.1455,0.146,0.187,0.129,0.0061,0.0222,0.0081
2026-04-27 12:40:01,0.764,1259.7,46.6,42.31,4.09,2.5781,0.764,0.738,0.521,0.2472,0.4429,0.126
2026-04-27 13:40:01,0.769,1253.9,45.8,42.31,6.56,2.4023,0.636,0.769,0.5,0.2556,0.4082,0.1309
2026-04-27 14:40:01,0.899,1259.9,45.7,42.31,4.0,2.4297,0.899,0.645,0.678,0.2571,0.4114,0.1317
2026-04-27 15:40:01,1.02,1261.0,46.4,42.34,3.94,2.3848,1.02,0.803,0.813,0.2705,0.4075,0.1324
2026-04-27 17:40:01,0.293,1478.0,52.7,49.94,10.04,0.1465,0.212,0.293,0.195,0.0105,0.0267,0.0093
2026-04-27 22:40:01,1.073,1260.2,40.2,42.31,3.87,2.7461,0.805,1.073,0.733,0.2262,0.4446,0.1236
2026-04-28 01:40:01,0.848,1260.3,41.5,42.34,4.23,2.5879,0.733,0.848,0.565,0.2167,0.4341,0.12
2026-04-28 03:40:01,0.856,1260.0,38.9,42.25,3.16,2.627,0.856,0.797,0.638,0.1743,0.4124,0.0919
2026-04-28 07:40:01,0.963,1260.3,34.5,42.28,3.45,2.5547,0.906,0.963,0.483,0.2103,0.4253,0.1237
2026-04-28 09:40:01,0.938,1260.1,40.8,42.31,3.91,2.5332,0.938,0.694,0.46,0.2451,0.4326,0.1212
2026-04-28 10:40:01,0.758,1260.3,43.8,42.31,3.85,2.4375,0.758,0.753,0.592,0.24,0.4219,0.1225
2026-04-28 14:40:01,0.796,1260.5,41.9,42.31,3.77,2.4336,0.671,0.796,0.474,0.2336,0.4294,0.1205
2026-04-28 15:40:01,0.755,1259.7,43.8,42.31,4.11,2.3984,0.677,0.755,0.657,0.2429,0.4133,0.1251
2026-04-28 16:40:01,0.904,1260.1,45.8,42.31,3.92,2.4219,0.904,0.821,0.757,0.2416,0.437,0.1265
2026-04-28 19:40:01,0.319,1495.4,49.6,50.03,2.76,0.1313,0.255,0.319,0.089,0.0079,0.0208,0.0111
2026-04-29 01:00:00,0.891,1255.8,37.0,42.28,5.33,2.4609,0.869,0.891,0.441,0.2155,0.4221,0.1197
2026-04-29 12:00:00,1.052,1260.1,40.7,42.31,3.94,2.5898,1.052,0.946,0.469,0.2462,0.4333,0.126
2026-04-29 15:00:00,1.059,1260.6,42.1,42.31,3.72,2.752,0.816,1.059,0.479,0.2278,0.4578,0.1307
2026-04-29 18:00:00,0.957,1260.4,40.3,42.25,3.0,2.498,0.957,0.886,0.455,0.2173,0.4365,0.1221
2026-04-29 20:00:00,1.127,1259.8,39.3,42.28,3.64,2.75,0.697,1.127,0.483,0.217,0.4465,0.1305
2026-04-29 23:00:00,1.085,1260.2,34.3,42.28,3.49,2.6289,0.789,1.085,0.481,0.2148,0.4314,0.1296
2026-04-30 00:00:00,0.817,1259.7,39.2,42.31,4.07,2.416,0.817,0.789,0.443,0.2416,0.4194,0.12
2026-04-30 02:00:00,1.04,1255.2,36.1,42.31,5.98,2.6621,0.941,1.04,0.537,0.2189,0.4414,0.1349
2026-04-30 03:00:00,1.2,1251.2,39.4,42.31,7.68,2.416,0.689,1.2,0.479,0.2485,0.4133,0.1225
2026-04-30 04:00:00,0.891,1260.4,42.1,42.28,3.42,2.4531,0.873,0.891,0.5,0.2213,0.4397,0.1235
2026-04-30 07:00:00,1.522,1007.8,36.6,33.94,3.52,2.3047,1.522,0.964,1.16,0.1754,0.4048,0.096
2026-04-30 08:00:00,1.452,1008.7,40.9,33.94,3.19,1.9424,1.452,0.807,0.916,0.1897,0.3638,0.0841
2026-04-30 09:00:00,1.192,1001.9,43.9,33.94,5.49,2.0391,1.192,0.888,0.824,0.1775,0.366,0.0757
2026-04-30 12:00:00,1.508,1008.4,44.6,33.91,2.99,2.0938,1.508,1.444,0.867,0.1846,0.3748,0.0838
2026-04-30 13:00:00,1.014,999.0,47.2,33.94,6.51,2.0625,1.014,0.964,0.929,0.1915,0.3572,0.0746
2026-04-30 14:00:00,1.256,997.0,48.4,33.94,7.18,1.8955,0.846,1.256,0.846,0.1995,0.3025,0.0704
2026-04-30 15:00:00,1.334,998.4,47.7,33.91,6.37,2.1816,1.334,1.036,0.911,0.1975,0.355,0.0876
2026-05-01 22:00:00,0.823,440.9,24.2,14.8,0.48,1.3291,0.476,0.823,0.487,0.087,0.2063,0.0953
2026-05-01 23:00:00,1.04,692.8,30.1,23.22,0.87,1.4814,0.479,0.731,1.04,0.1505,0.2571,0.0812
