Feature,Coefficient,Absolute_Coefficient,Odds_Ratio,Effect_Direction
Speed_rpm,0.2455183934080448,0.2455183934080448,1.2782837953699875,RISK_INCREASING
Output_Power_kW,0.27384638628662283,0.27384638628662283,1.315012782725945,RISK_INCREASING
Skin_Temp_C,-0.29626789089358974,0.29626789089358974,0.7435882008282132,RISK_DECREASING
Vib_Radial_mm_s,-0.8140559819218806,0.8140559819218806,0.44305738418401935,RISK_DECREASING
Vib_Tangential_mm_s,-0.41704058871213645,0.41704058871213645,0.6589941716765517,RISK_DECREASING
Vib_Axial_mm_s,-0.12492310713294556,0.12492310713294556,0.8825647629105559,RISK_DECREASING
Acc_RMS_Axial_g,0.5790924517143496,0.5790924517143496,1.7844182499415024,RISK_INCREASING
Acc_RMS_Tangential_g,-1.359004909351252,1.359004909351252,0.25691630480820665,RISK_DECREASING
Acc_RMS_Radial_g,0.33538499747819883,0.33538499747819883,1.3984786923622465,RISK_INCREASING
Pk_Pk_Tangential_g,0.8985266548605265,0.8985266548605265,2.455981935144186,RISK_INCREASING
Hours_Since_Previous_Measurement,0.1621698025348898,0.1621698025348898,1.1760599223233426,RISK_INCREASING
Change_Vib_Radial,0.13936106462533124,0.13936106462533124,1.14953908297956,RISK_INCREASING
Change_Vib_Tangential,0.0478720063995091,0.0478720063995091,1.0490363767883462,RISK_INCREASING
Change_Vib_Axial,-0.008778890688893199,0.008778890688893199,0.9912595312557476,RISK_DECREASING
Change_Acc_Tangential,-0.1927608055273087,0.1927608055273087,0.8246792092579907,RISK_DECREASING
Change_Skin_Temp,0.6730770391245723,0.6730770391245723,1.960259846352007,RISK_INCREASING
Avg_3_Vib_Radial,-0.253618525368604,0.253618525368604,0.7759877652383742,RISK_DECREASING
Avg_3_Vib_Tangential,0.7675265947420958,0.7675265947420958,2.1544308775707837,RISK_INCREASING
Avg_3_Vib_Axial,0.03567500350860379,0.03567500350860379,1.0363189917193032,RISK_INCREASING
Max_3_Vib_Tangential,-0.3678538016694929,0.3678538016694929,0.6922183754622088,RISK_DECREASING
Max_3_Acc_Tangential,0.6792429338670438,0.6792429338670438,1.9723839417692106,RISK_INCREASING
Max_3_Pk_Pk_Tangential,0.1380718077517671,0.1380718077517671,1.148057986777282,RISK_INCREASING
Avg_3_Skin_Temp,1.0565216850165147,1.0565216850165147,2.8763487222135993,RISK_INCREASING
Deviation_Vib_Radial,-0.2198915283075095,0.2198915283075095,0.8026058532561811,RISK_DECREASING
Deviation_Vib_Tangential,0.4077942613011421,0.4077942613011421,1.5034978016661418,RISK_INCREASING
Deviation_Vib_Axial,0.7317934982428876,0.7317934982428876,2.07880560048337,RISK_INCREASING
Deviation_Skin_Temp,-0.8717600161810308,0.8717600161810308,0.4182148362454712,RISK_DECREASING
Ratio_Vib_Radial_To_Normal,1.2959849900671359,1.2959849900671359,3.654593940600669,RISK_INCREASING
Ratio_Vib_Tangential_To_Normal,-0.26312967242115287,0.26312967242115287,0.7686422191509882,RISK_DECREASING
Ratio_Vib_Axial_To_Normal,-1.3156715900397964,1.3156715900397964,0.2682940790896705,RISK_DECREASING
Operating_Mode_MODE_50HZ,0.6117783779107773,0.6117783779107773,1.8437072933534342,RISK_INCREASING
Operating_Mode_MODE_57HZ,-0.2352958235114352,0.2352958235114352,0.7903370147725894,RISK_DECREASING
Operating_Mode_OTHER,-0.5722253946288337,0.5722253946288337,0.5642683207363784,RISK_DECREASING
